Nom,Continent
GUINEE,AFRIQUE
GUINEE EQUATORIALE,AFRIQUE
GUINEE BISSAU,AFRIQUE
GUYANA,AMERIQUE DU SUD
HAITI,AMERIQUE DU NORD
HONDURAS,AMERIQUE DU NORD
HONG KONG,ASIE
HONGRIE,EUROPE
ILES VIERGES DES ETATS UNIS,OCEANIE
INDE,ASIE
INDONESIE,ASIE
IRAN,ASIE
IRAQ,ASIE
IRLANDE,EUROPE
ISLANDE,EUROPE
ISRAEL,ASIE
ITALIE,EUROPE
JAMAIQUE,AMERIQUE DU NORD
JAPON,ASIE
JORDANIE,ASIE
KAZAKHSTAN,ASIE
KENYA,AFRIQUE
KIRGHIZISTAN,ASIE
KIRIBATI,OCEANIE
KOWEIT,ASIE
LAOS,ASIE
LESOTHO,AFRIQUE
LETTONIE,EUROPE
LIBAN,ASIE
LIBERIA,AFRIQUE
LIBYE,AFRIQUE
LIECHTENSTEIN,EUROPE
LITUANIE,EUROPE
LUXEMBOURG,EUROPE
MADAGASCAR,AFRIQUE
MALAISIE,ASIE
MALAWI,AFRIQUE
MALDIVES,ASIE
MALI,AFRIQUE
MALTE,EUROPE
MAROC,AFRIQUE
MARSHALL,OCEANIE
MAURICE,AFRIQUE
MAURITANIE,AFRIQUE
MEXIQUE,AMERIQUE DU NORD
MICRONESIE,OCEANIE
MOLDAVIE,EUROPE
MONACO,EUROPE
MONDE,EUROPE
MONGOLIE,ASIE
MONTENEGRO,EUROPE
MOZAMBIQUE,AFRIQUE
MYANMAR,ASIE
NAMIBIE,AFRIQUE
NAURU,OCEANIE
NEPAL,ASIE
NICARAGUA,AMERIQUE DU NORD
NIGER,AFRIQUE
NIGERIA,AFRIQUE
NORVEGE,EUROPE
NOUVELLE ZELANDE,OCEANIE
OMAN,ASIE
OUGANDA,AFRIQUE
OUZBEKISTAN,ASIE
PAKISTAN,ASIE
PALAOS,OCEANIE
PALESTINE,ASIE
PANAMA,AMERIQUE DU NORD
PAPOUASIE NOUVELLE GUINEE,OCEANIE
PARAGUAY,AMERIQUE DU SUD
PAYS BAS,EUROPE
PEROU,AMERIQUE DU SUD
PHILIPPINES,ASIE
POLOGNE,EUROPE
PORTUGAL,EUROPE
QATAR,ASIE
REPUBLIQUE CENTRAFRICAINE,AFRIQUE
REPUBLIQUE DE MACEDOINE,EUROPE
REPUBLIQUE DEMOCRATIQUE DU CONGO,AFRIQUE
REPUBLIQUE DOMINICAINE,AMERIQUE DU NORD
REPUBLIQUE DU CONGO,AFRIQUE
REPUBLIQUE TCHEQUE,EUROPE
ROUMANIE,EUROPE
ROYAUME UNI,EUROPE
RUSSIE,EUROPE
RWANDA,AFRIQUE
SAINTE LUCIE,AMERIQUE DU NORD
SAINT KITTS ET NEVIS,AMERIQUE DU NORD
SAINT MARIN,EUROPE
SAINT SIEGE,EUROPE
SAINT VINCENT ET LES GRENADINES,AMERIQUE DU NORD
SALOMON,OCEANIE
SAMOA,OCEANIE
SAO TOME ET PRINCIPE,AFRIQUE
SENEGAL,AFRIQUE
SERBIE,EUROPE
SEYCHELLES,AFRIQUE
SIERRA LEONE,AFRIQUE
SINGAPOUR,ASIE
SLOVAQUIE,EUROPE
SLOVENIE,EUROPE
SOMALIE,AFRIQUE
SOUDAN,AFRIQUE
SOUDAN DU SUD,AFRIQUE
SRI LANKA,ASIE
SUEDE,EUROPE
SUISSE,EUROPE
SURINAME,AMERIQUE DU SUD
SYRIE,ASIE
TADJIKISTAN,ASIE
TAIWAN,ASIE
TANZANIE,AFRIQUE
TCHAD,AFRIQUE
THAILANDE,ASIE
TIMOR LESTE,ASIE
TOGO,AFRIQUE
TONGA,OCEANIE
TRINITE ET TOBAGO,AMERIQUE DU NORD
TUNISIE,AFRIQUE
TURKIYE,ASIE
TURKMENISTAN,ASIE
TUVALU,OCEANIE
UKRAINE,EUROPE
UNION EUROPEENNE,EUROPE
URUGUAY,AMERIQUE DU SUD
VANUATU,OCEANIE
VENEZUELA,AMERIQUE DU SUD
VIETNAM,ASIE
YEMEN,ASIE
ZAMBIE,AFRIQUE
ZIMBABWE,AFRIQUE
